T,E,C,target
25,0.2419,0.531196606,0.264210573
19,0.2497,0.609227188,0.260083682
25,0.2513,0.641147127,0.262433908
25,0.253,0.514643262,0.264946642
25,0.255,0.591221065,0.263538997
25,0.2587,0.485931327,0.265715914
25,0.2592,0.535767894,0.264769811
37,0.2681,0.500445533,0.271603434
25,0.2687,0.521781477,0.265396279
19,0.2695,0.66195284,0.259804268
19,0.2786,0.63216687,0.260721635
37,0.2831,0.513410345,0.271914061
25,0.2836,0.58879622,0.264656768
25,0.2851,0.595511976,0.264582915
25,0.2943,0.490616749,0.266958122
37,0.2957,0.489529499,0.272848151
49,0.2984,0.533403419,0.277916417
37,0.3056,0.541107214,0.27222029
37,0.3075,0.603496159,0.271083594
19,0.3082,0.583222736,0.262777449
25,0.3121,0.625264398,0.265017835
37,0.3134,0.609518835,0.271187901
25,0.3149,0.573514287,0.266124541
25,0.3195,0.589085814,0.265995311
25,0.3222,0.667810277,0.264572317
49,0.3315,0.488773952,0.280019745
37,0.3317,0.609518835,0.27187308
25,0.3333,0.572735506,0.266828541
25,0.3354,0.535468145,0.267628655
31,0.3366,0.597528794,0.269380387
37,0.3371,0.571920863,0.272803152
25,0.3387,0.555468272,0.267365014
37,0.3446,0.485685575,0.274753457
25,0.3454,0.549964079,0.267722432
37,0.3478,0.646088903,0.271767901
25,0.3484,0.629899555,0.266287226
49,0.351,0.479333039,0.280932627
13,0.3515,0.56834343,0.261778444
25,0.3544,0.462973477,0.269743522
37,0.3567,0.659261899,0.271846104
13,0.3583,0.575088251,0.261902468
31,0.3591,0.596672415,0.2702394
37,0.3606,0.562157201,0.273872049
37,0.362,0.530893924,0.274529716
37,0.3622,0.478840371,0.275544948
25,0.3629,0.646440372,0.266509901
37,0.3656,0.641439852,0.272524364
25,0.368,0.5247264,0.269057205
37,0.369,0.587855601,0.273689042
25,0.3726,0.62017967,0.267381484
37,0.3815,0.505026197,0.275760618
49,0.3826,0.50020135,0.281711773
31,0.3831,0.606588517,0.270946022
25,0.3866,0.542472714,0.269410052
49,0.3869,0.51975714,0.281494176
25,0.389,0.666932247,0.267090406
37,0.3898,0.541981033,0.275355945
37,0.3906,0.572921518,0.274786899
43,0.3912,0.567813246,0.277816539
13,0.4009,0.648956557,0.262067403
19,0.4011,0.696758916,0.26405773
25,0.4013,0.569561671,0.269436006
49,0.4023,0.547699301,0.281529822
37,0.4026,0.512117674,0.276413344
19,0.4034,0.578039494,0.266442224
19,0.4046,0.539052989,0.267241923
13,0.4125,0.622855528,0.263007033
25,0.414,0.628735133,0.26876593
31,0.4159,0.52223751,0.273807117
37,0.4166,0.447470515,0.278189077
61,0.4183,0.483897961,0.289180625
43,0.4193,0.603496159,0.278177833
37,0.4197,0.461258298,0.278038218
37,0.4199,0.537825226,0.276563389
37,0.4211,0.65855376,0.274271045
25,0.4293,0.532838634,0.271195317
43,0.4308,0.556761745,0.279513176
13,0.4348,0.506225994,0.266099897
25,0.4373,0.513929372,0.271860927
25,0.4406,0.599605214,0.270325821
25,0.4414,0.545164209,0.271409738
37,0.4418,0.648339907,0.275243821
49,0.4443,0.560257966,0.282859231
13,0.4444,0.539054551,0.265823783
37,0.4456,0.568272635,0.276936181
31,0.4499,0.601616576,0.273543368
25,0.451,0.546422461,0.271744817
49,0.4516,0.488890402,0.284514212
61,0.4524,0.55414843,0.289097348
25,0.4531,0.58723458,0.271033332
37,0.4554,0.545606952,0.27774191
37,0.4556,0.514351127,0.278354503
37,0.4586,0.615398366,0.276510578
37,0.4613,0.513410345,0.278586133
25,0.4659,0.597702949,0.271309918
25,0.4668,0.581214917,0.271662819
25,0.4698,0.593445383,0.271538365
37,0.4737,0.575901293,0.277840598
25,0.4749,0.596255021,0.271674923
25,0.4754,0.569992144,0.272202086
37,0.4779,0.553367425,0.278434102
25,0.4829,0.475326429,0.274315602
37,0.4848,0.517690732,0.27938314
37,0.4848,0.517284251,0.27939101
49,0.4875,0.566536893,0.284355145
37,0.4894,0.530994024,0.279297823
31,0.4913,0.539861131,0.276289016
61,0.4948,0.553216312,0.290702912
37,0.4951,0.544072109,0.279258051
37,0.4962,0.555729101,0.27907356
37,0.4993,0.52199474,0.279842717
37,0.5002,0.576530681,0.278820612
37,0.5017,0.488912292,0.280573045
31,0.5054,0.670383734,0.274290055
61,0.5061,0.490257805,0.292344862
37,0.5091,0.53186894,0.280018482
37,0.5111,0.648031347,0.277844489
49,0.5121,0.508304667,0.286403566
49,0.5122,0.566536893,0.285279949
37,0.5133,0.537222803,0.280072086
25,0.5137,0.685888872,0.271392363
37,0.5138,0.575315182,0.279353348
37,0.5151,0.458210856,0.281669133
37,0.5196,0.493516967,0.281154102
25,0.5229,0.497537362,0.275383263
37,0.5234,0.539437295,0.280407373
25,0.5244,0.474821604,0.275879197
25,0.5285,0.577944993,0.274036264
37,0.5299,0.460724891,0.282174596
37,0.5299,0.609518835,0.279293982
37,0.5299,0.655342701,0.278406843
61,0.5303,0.531506927,0.292452373
25,0.5304,0.496923635,0.275675956
37,0.5322,0.554671695,0.280441924
13,0.5378,0.535454603,0.269390511
61,0.5386,0.444369265,0.294450101
25,0.5387,0.687397433,0.272299195
25,0.5398,0.691655,0.272257955
19,0.5411,0.709614885,0.269050649
37,0.542,0.555658995,0.280789737
37,0.5435,0.560985893,0.280742772
37,0.5476,0.567041986,0.280779037
25,0.5505,0.64616142,0.273539323
37,0.5511,0.603448769,0.280205256
37,0.5522,0.528097546,0.281705223
25,0.5532,0.545397215,0.275591185
25,0.554,0.626579938,0.274049461
25,0.5543,0.612138989,0.274340267
37,0.5554,0.56379271,0.281133986
49,0.5565,0.516764334,0.287902191
25,0.5567,0.539656066,0.275833377
37,0.5577,0.537927738,0.281720841
49,0.5599,0.50014748,0.28835119
31,0.5606,0.511177295,0.279439022
73,0.5612,0.424267767,0.301502
37,0.564,0.613837351,0.280487131
37,0.5647,0.541079715,0.28192191
49,0.5653,0.519607748,0.288176628
25,0.5694,0.546188757,0.276182413
49,0.5721,0.412941488,0.290496263
37,0.5731,0.579745888,0.281487851
37,0.5733,0.638591331,0.280356106
37,0.5754,0.476469198,0.283573377
37,0.5757,0.578241642,0.28161432
37,0.5766,0.522416025,0.282728788
61,0.5792,0.490003641,0.295086755
37,0.5841,0.581231748,0.281870941
43,0.5841,0.479871077,0.286741539
37,0.5859,0.541107214,0.282715137
37,0.586,0.556855922,0.28241399
61,0.5888,0.563427945,0.294024717
43,0.5892,0.415514676,0.288178415
19,0.5919,0.59726462,0.273127749
37,0.593,0.565194108,0.282514655
31,0.5933,0.473592204,0.281390996
43,0.5935,0.545378753,0.285825277
37,0.5942,0.482397861,0.284162499
61,0.5976,0.526324014,0.295072525
37,0.598,0.64576645,0.281142002
37,0.599,0.637682074,0.281335955
37,0.5993,0.576530681,0.282531063
61,0.6005,0.503325951,0.295626342
43,0.6015,0.5391303,0.286245777
37,0.6026,0.513724067,0.28387054
37,0.6036,0.581882916,0.282588443
25,0.6054,0.683381804,0.274874283
37,0.6059,0.599746015,0.282328734
37,0.6068,0.537223702,0.283572847
43,0.6093,0.474989828,0.287779564
37,0.6108,0.529796266,0.283866407
37,0.6112,0.613776401,0.282255549
61,0.612,0.472489991,0.296653895
37,0.6126,0.469265143,0.285105669
25,0.6128,0.61072659,0.276557937
30,0.6144,0.570446957,0.279821214
61,0.6148,0.432159153,0.297539527
19,0.6161,0.638139555,0.273242505
49,0.6171,0.511387724,0.290275235
61,0.6189,0.449147503,0.297364146
37,0.6191,0.487550172,0.284995045
25,0.6225,0.577702822,0.277560451
25,0.6231,0.573450002,0.27766525
37,0.6232,0.57761055,0.283405008
37,0.6237,0.488517176,0.285148555
37,0.6237,0.526401947,0.284415115
61,0.6246,0.444307221,0.297671269
31,0.6246,0.569992144,0.280696636
61,0.6296,0.53959665,0.296013697
37,0.6321,0.569247882,0.283900137
37,0.6324,0.587007618,0.283567545
43,0.6325,0.505101744,0.288065247
37,0.6344,0.479920241,0.285715613
49,0.6354,0.437491815,0.29239102
37,0.6355,0.489691292,0.285567634
61,0.6355,0.485175422,0.297288183
37,0.636,0.582646114,0.283786772
37,0.637,0.611700323,0.283261731
37,0.6415,0.508751983,0.285423272
61,0.6421,0.484703844,0.297544427
25,0.6436,0.525173931,0.279367413
43,0.6454,0.609404808,0.286528961
61,0.6459,0.473389521,0.297905747
25,0.6465,0.621329398,0.277614447
25,0.6466,0.452693235,0.280882945
31,0.6483,0.507906696,0.282785958
37,0.6486,0.598204874,0.283957321
25,0.6489,0.58233798,0.278459171
41,0.6502,0.566250439,0.286574711
61,0.6502,0.452903428,0.298463351
61,0.6512,0.417265759,0.299190729
37,0.6515,0.485101617,0.286255552
61,0.6519,0.498369172,0.297646796
49,0.6523,0.428029088,0.293206977
13,0.6524,0.590695392,0.272611857
37,0.6529,0.529252441,0.285453221
24,0.6529,0.507252196,0.279577865
49,0.654,0.467826205,0.292500165
49,0.6553,0.522042595,0.291499224
31,0.6556,0.691655,0.279501959
37,0.6561,0.481968175,0.286488446
37,0.6568,0.50151522,0.286136229
37,0.6577,0.468560129,0.286807928
25,0.6588,0.657461004,0.277375478
37,0.6593,0.575901293,0.284789737
31,0.6619,0.551591491,0.282449435
37,0.663,0.506958527,0.286262985
49,0.6649,0.558332728,0.291156094
37,0.6659,0.548555122,0.285566265
37,0.6674,0.485101617,0.286850872
37,0.6675,0.598204874,0.284664965
61,0.6679,0.562066596,0.297012693
37,0.668,0.490223929,0.28677417
25,0.6689,0.482476188,0.2811413
37,0.67,0.553914689,0.285616016
37,0.6706,0.561923841,0.285483425
49,0.6709,0.50020135,0.292506152
49,0.6713,0.447067496,0.293549786
37,0.6713,0.546434113,0.285809512
49,0.6715,0.553041444,0.291505645
13,0.6716,0.678595043,0.271629018
37,0.6716,0.555887193,0.285637735
49,0.6719,0.573939869,0.291116034
37,0.6724,0.581163197,0.285178351
61,0.6728,0.497984586,0.298436768
25,0.6735,0.464777556,0.281656172
37,0.6735,0.560294152,0.285623556
